"cp","minsplit","minbucket","maxdepth","accuracy","kappa","balanced_accuracy","precision_satisfied","recall_satisfied","f1_satisfied","specificity"
0.02,40,20,4,0.667951127819549,0.27814591501615,0.632320487483531,0.66637099012099,0.419565217391304,0.503735005964108,0.845075757575758
5e-04,60,20,4,0.632268170426065,0.220482986533716,0.607312252964427,0.578268106162843,0.461594202898551,0.503471321345076,0.753030303030303
0.001,60,20,4,0.632268170426065,0.220482986533716,0.607312252964427,0.578268106162843,0.461594202898551,0.503471321345076,0.753030303030303
0.002,60,20,4,0.632268170426065,0.220482986533716,0.607312252964427,0.578268106162843,0.461594202898551,0.503471321345076,0.753030303030303
0.005,60,20,4,0.639411027568922,0.225885324520323,0.60939558629776,0.591601439496176,0.428260869565217,0.486913587140282,0.790530303030303
0.01,60,20,4,0.641196741854637,0.228838862643468,0.610729578392622,0.595207725468023,0.427898550724638,0.486885649856182,0.793560606060606
0.02,60,20,4,0.667951127819549,0.27814591501615,0.632320487483531,0.66637099012099,0.419565217391304,0.503735005964108,0.845075757575758
5e-04,80,20,4,0.632299498746867,0.221568165817811,0.607880434782609,0.577813560708298,0.465760869565217,0.506616476843172,0.75
0.001,80,20,4,0.632299498746867,0.221568165817811,0.607880434782609,0.577813560708298,0.465760869565217,0.506616476843172,0.75
0.002,80,20,4,0.632299498746867,0.221568165817811,0.607880434782609,0.577813560708298,0.465760869565217,0.506616476843172,0.75
0.005,80,20,4,0.639442355889724,0.226970503804419,0.609963768115942,0.591146894041631,0.432427536231884,0.490058742638379,0.7875
0.01,80,20,4,0.641196741854637,0.228838862643468,0.610729578392622,0.595207725468023,0.427898550724638,0.486885649856182,0.793560606060606
0.02,80,20,4,0.667951127819549,0.27814591501615,0.632320487483531,0.66637099012099,0.419565217391304,0.503735005964108,0.845075757575758
5e-04,60,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.001,60,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.002,60,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.005,60,30,4,0.646397243107769,0.238852507981256,0.61423336627141,0.626328415306743,0.419565217391304,0.490175826400515,0.808901515151515
0.01,60,30,4,0.648245614035088,0.239354264778956,0.614430994729908,0.630349100503899,0.410869565217391,0.482876030397253,0.817992424242424
0.02,60,30,4,0.675,0.288677292712689,0.636680665349144,0.694971278721279,0.406884057971014,0.498787377392191,0.866477272727273
5e-04,80,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.001,80,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.002,80,30,4,0.639254385964912,0.233108918237666,0.612150032938076,0.60304799202632,0.452898550724638,0.508898154041248,0.771401515151515
0.005,80,30,4,0.646397243107769,0.238852507981256,0.61423336627141,0.626328415306743,0.419565217391304,0.490175826400515,0.808901515151515
0.01,80,30,4,0.648245614035088,0.239354264778956,0.614430994729908,0.630349100503899,0.410869565217391,0.482876030397253,0.817992424242424
0.02,80,30,4,0.675,0.288677292712689,0.636680665349144,0.694971278721279,0.406884057971014,0.498787377392191,0.866477272727273
5e-04,80,40,4,0.62687969924812,0.199453648678231,0.594746376811594,0.596010130220657,0.406159420289855,0.471758429249249,0.783333333333333
0.001,80,40,4,0.62687969924812,0.199453648678231,0.594746376811594,0.596010130220657,0.406159420289855,0.471758429249249,0.783333333333333
0.002,80,40,4,0.62687969924812,0.199453648678231,0.594746376811594,0.596010130220657,0.406159420289855,0.471758429249249,0.783333333333333
0.005,80,40,4,0.634022556390977,0.203999103223685,0.596829710144928,0.603152987363514,0.372826086956522,0.450604583095403,0.820833333333333
0.01,80,40,4,0.633991228070175,0.214623521177714,0.604281949934124,0.579588050373062,0.424094202898551,0.476643360993865,0.784469696969697
0.02,80,40,4,0.666040100250627,0.278094911960542,0.633530961791831,0.641048534798535,0.43713768115942,0.510729803392342,0.829924242424242
5e-04,30,10,5,0.639473684210526,0.22866002347486,0.61077692687747,0.585096025032086,0.440398550724638,0.497900131785827,0.781155303030303
0.001,30,10,5,0.639473684210526,0.22866002347486,0.61077692687747,0.585096025032086,0.440398550724638,0.497900131785827,0.781155303030303
0.002,30,10,5,0.639473684210526,0.22866002347486,0.61077692687747,0.585096025032086,0.440398550724638,0.497900131785827,0.781155303030303
