"cp","minsplit","minbucket","maxdepth","accuracy","kappa","balanced_accuracy","precision_satisfied","recall_satisfied","f1_satisfied","specificity"
0.01,60,30,4,0.675062656641604,0.319992291526863,0.657190793807642,0.636260925155163,0.548188405797101,0.579928006775833,0.766193181818182
0.02,60,30,4,0.680419799498747,0.328097318098035,0.660418725296443,0.644863075692797,0.539492753623188,0.581346446492145,0.781344696969697
5e-04,80,30,4,0.660808270676692,0.301092998350756,0.65063611660079,0.598333994171966,0.586594202898551,0.586855769975975,0.71467803030303
0.001,80,30,4,0.660808270676692,0.301092998350756,0.65063611660079,0.598333994171966,0.586594202898551,0.586855769975975,0.71467803030303
0.002,80,30,4,0.660808270676692,0.301092998350756,0.65063611660079,0.598333994171966,0.586594202898551,0.586855769975975,0.71467803030303
0.005,80,30,4,0.666134085213033,0.304482585899753,0.650183218050066,0.617681008339952,0.552355072463768,0.577254249815225,0.748011363636364
0.01,80,30,4,0.666196741854637,0.300806258898653,0.647819911067194,0.621180254192139,0.535507246376812,0.567975320109466,0.760132575757576
0.02,80,30,4,0.67155388471178,0.308911285469825,0.651047842555995,0.629782404729773,0.526811594202899,0.569393759825779,0.775284090909091
5e-04,80,40,4,0.657174185463659,0.298016437596049,0.650304677206851,0.585714946552918,0.607427536231884,0.59250012562033,0.693181818181818
0.001,80,40,4,0.657174185463659,0.298016437596049,0.650304677206851,0.585714946552918,0.607427536231884,0.59250012562033,0.693181818181818
0.002,80,40,4,0.657174185463659,0.298016437596049,0.650304677206851,0.585714946552918,0.607427536231884,0.59250012562033,0.693181818181818
0.005,80,40,4,0.6625,0.301406025145046,0.649851778656127,0.605061960720904,0.573188405797102,0.582898605459581,0.726515151515152
0.01,80,40,4,0.65905388471178,0.288104645995427,0.642090744400527,0.60729136530325,0.539673913043478,0.564403891538038,0.744507575757576
0.02,80,40,4,0.667982456140351,0.302810549759581,0.648443675889328,0.621196546143915,0.530978260869565,0.568358563138408,0.765909090909091
5e-04,30,10,5,0.664160401002506,0.311007788258393,0.655659173254282,0.601455315310814,0.603079710144928,0.59770012717659,0.708238636363636
0.001,30,10,5,0.664160401002506,0.311007788258393,0.655659173254282,0.601455315310814,0.603079710144928,0.59770012717659,0.708238636363636
0.002,30,10,5,0.669517543859649,0.320716605449515,0.660204627799737,0.608980398922854,0.603079710144928,0.60169302868502,0.717329545454545
0.005,30,10,5,0.692700501253133,0.364074064613571,0.681877882081686,0.633575301510084,0.616123188405797,0.622240539166918,0.747632575757576
0.01,30,10,5,0.706954887218045,0.395093116372961,0.697908432147563,0.648707567794524,0.642028985507246,0.642451106092805,0.753787878787879
0.02,30,10,5,0.68734335839599,0.351950723793202,0.675360260210804,0.63264980757229,0.602898550724638,0.611951048570042,0.74782196969697
5e-04,40,10,5,0.67484335839599,0.335296911009518,0.668612071805007,0.611212643190331,0.628985507246377,0.614998962138964,0.708238636363636
0.001,40,10,5,0.67484335839599,0.335296911009518,0.668612071805007,0.611212643190331,0.628985507246377,0.614998962138964,0.708238636363636
0.002,40,10,5,0.680200501253133,0.345049222344639,0.673157526350461,0.618374446903859,0.628985507246377,0.619237580663297,0.717329545454545
0.005,40,10,5,0.69624060150376,0.372206128598017,0.686135128458498,0.63698627459497,0.62463768115942,0.628349080640862,0.747632575757576
0.01,40,10,5,0.708709273182957,0.399222255594182,0.699991765480896,0.650850424937381,0.646195652173913,0.645784439426139,0.753787878787879
0.02,40,10,5,0.68734335839599,0.351950723793202,0.675360260210804,0.63264980757229,0.602898550724638,0.611951048570042,0.74782196969697
5e-04,60,10,5,0.657080200501253,0.297203965606164,0.648281044137022,0.596916040100251,0.594384057971014,0.590253150852871,0.70217803030303
0.001,60,10,5,0.657080200501253,0.297203965606164,0.648281044137022,0.596916040100251,0.594384057971014,0.590253150852871,0.70217803030303
0.002,60,10,5,0.662437343358396,0.30689583868533,0.652826498682477,0.604552403736614,0.594384057971014,0.59414203974176,0.711268939393939
0.005,60,10,5,0.676691729323308,0.326365802860332,0.661266880764163,0.62729750177583,0.568840579710145,0.59180035405803,0.753693181818182
0.01,60,10,5,0.680294486215539,0.328592533208133,0.661843297101449,0.634556981546146,0.551811594202899,0.583942469746658,0.771875
0.02,60,10,5,0.680294486215539,0.327692995182444,0.660711050724638,0.638940020992653,0.543297101449275,0.581602284786495,0.778125
5e-04,80,10,5,0.669736842105263,0.316038051512655,0.65736783596838,0.609082450116933,0.582065217391304,0.592279547243674,0.732670454545455
0.001,80,10,5,0.669736842105263,0.316038051512655,0.65736783596838,0.609082450116933,0.582065217391304,0.592279547243674,0.732670454545455
0.002,80,10,5,0.669736842105263,0.316038051512655,0.65736783596838,0.609082450116933,0.582065217391304,0.592279547243674,0.732670454545455
0.005,80,10,5,0.669705513784461,0.304477764815536,0.649075675230567,0.628191184519785,0.526086956521739,0.566218096908084,0.772064393939394
0.01,80,10,5,0.669768170426065,0.300801437814436,0.646712368247694,0.631690430371972,0.509239130434783,0.556939167202325,0.784185606060606
0.02,80,10,5,0.669768170426065,0.303258066898412,0.648029891304348,0.631366921577448,0.517934782608696,0.562292647055805,0.778125
5e-04,40,20,5,0.676754385964912,0.332517097866542,0.665452075098814,0.622869578425643,0.595108695652174,0.602687149442903,0.735795454545455
0.001,40,20,5,0.676754385964912,0.332517097866542,0.665452075098814,0.622869578425643,0.595108695652174,0.602687149442903,0.735795454545455
0.002,40,20,5,0.682111528822055,0.342208970945708,0.669997529644269,0.630505942062006,0.595108695652174,0.606576038331792,0.744886363636364
0.005,40,20,5,0.682111528822055,0.341490738011997,0.670471014492754,0.621756582102969,0.599275362318841,0.607236895049644,0.741666666666667
0.01,40,20,5,0.687468671679198,0.352828172341617,0.676105484189723,0.628211033448724,0.607608695652174,0.614739703722827,0.744602272727273
0.02,40,20,5,0.678477443609023,0.329599065247315,0.662399127140975,0.636347245118143,0.564855072463768,0.591116617300828,0.759943181818182
5e-04,60,20,5,0.665977443609023,0.311556313827128,0.655335968379447,0.608489845938375,0.590217391304348,0.593729946524064,0.720454545454545
0.001,60,20,5,0.665977443609023,0.311556313827128,0.655335968379447,0.608489845938375,0.590217391304348,0.593729946524064,0.720454545454545
0.002,60,20,5,0.671334586466165,0.321189375926244,0.659881422924901,0.616384582780481,0.590217391304348,0.597222010016128,0.729545454545454
0.005,60,20,5,0.674874686716792,0.322523340308375,0.659230895915679,0.627519036561993,0.564673913043478,0.588893024319854,0.753787878787879
0.01,60,20,5,0.678508771929825,0.325490273067891,0.660328145586298,0.634057964953863,0.551811594202899,0.582691823118652,0.768844696969697
0.02,60,20,5,0.680294486215539,0.330087732531172,0.662028573781291,0.638987197758096,0.551992753623188,0.587134296634297,0.772064393939394
5e-04,80,20,5,0.66437969924812,0.305965789934775,0.652822381422925,0.601594173606058,0.582065217391304,0.586890958638565,0.723579545454546
0.001,80,20,5,0.66437969924812,0.305965789934775,0.652822381422925,0.601594173606058,0.582065217391304,0.586890958638565,0.723579545454546
0.002,80,20,5,0.66437969924812,0.305965789934775,0.652822381422925,0.601594173606058,0.582065217391304,0.586890958638565,0.723579545454546
0.005,80,20,5,0.669705513784461,0.309231200321662,0.6523694828722,0.622728627387571,0.547826086956522,0.576603588609365,0.756912878787879
